Year,Country / territory of asylum/residence,Location Name,Female 0-4,Female 5-11,Female 5-17,Female 12-17,Female 18-59,Female 60+,F: Unknown,F: Total,Male 0-4,Male 5-11,Male 5-17,Male 12-17,Male 18-59,Male 60+,M: Unknown,M: Total
2010,Afghanistan,Zabul : Wilayat - Province,1245,2021,,1155,3189,163,0,7773,1296,2114,,1290,2993,304,0,7997
2010,Afghanistan,Wardak : Wilayat - Province,224,758,,589,1693,64,0,3328,205,804,,615,1610,159,0,3393
2010,Afghanistan,Uruzgan : Wilayat - Province,65,208,,68,193,14,0,548,51,192,,77,202,20,0,542
2010,Afghanistan,Takhar : Wilayat - Province,700,1662,,882,2460,130,0,5834,684,1740,,973,2884,233,0,6514
2010,Afghanistan,Sari Pul : Wilayat - Province,453,1097,,638,1762,127,0,4077,512,1162,,767,1811,205,0,4457
2010,Afghanistan,Samangan : Wilayat - Province,209,535,,275,788,47,0,1854,198,519,,292,790,68,0,1867
2010,Afghanistan,Parwan : Wilayat - Province,423,1414,,885,2392,93,0,5207,425,1534,,948,2626,176,0,5709
2010,Afghanistan,Panjsher : Wolaswalei - District,21,27,,17,48,3,0,116,22,28,,19,45,4,0,118
2010,Afghanistan,Panjsher : Wilayat - Province,14,47,,40,110,4,0,215,17,49,,43,128,9,0,246
2010,Afghanistan,Paktya : Wilayat - Province,1320,4307,,2671,7087,370,0,15755,1432,4353,,2961,5863,711,0,15320
2010,Afghanistan,Paktika : Wilayat - Province,179,574,,284,769,40,0,1846,192,623,,325,764,62,0,1966
2010,Afghanistan,Nuristan : Wilayat - Province,298,442,,268,739,38,0,1785,306,441,,293,696,65,0,1801
2010,Afghanistan,Nimroz : Wilayat - Province,7,40,,30,70,8,0,155,15,59,,27,106,10,0,217
2010,Afghanistan,Nangarhar : Wilayat - Province,20381,66563,,36254,88139,4393,0,215730,20647,68655,,39780,86006,6722,0,221810
2010,Afghanistan,Logar : Wilayat - Province,1106,4922,,3061,7547,375,0,17011,1168,5162,,3186,6627,636,0,16779
2010,Afghanistan,Laghman : Wilayat - Province,3047,8868,,5116,12449,549,0,30029,2990,9132,,5808,12302,992,0,31224
2010,Afghanistan,Kunduz : Wilayat - Province,2771,9479,,4918,12514,650,0,30332,2943,9797,,5276,12215,997,0,31228
2010,Afghanistan,Kunar : Wilayat - Province,3857,8806,,5297,12902,604,0,31466,3904,9353,,5819,12740,1092,0,32908
2010,Afghanistan,Khost : Wilayat - Province,1478,2722,,1714,4655,262,0,10831,1557,2927,,1989,4310,442,0,11225
2010,Afghanistan,Kapisa : Wilayat - Province,189,462,,277,744,30,0,1702,200,444,,318,800,65,0,1827
2010,Afghanistan,Kandahar : Wilayat - Province,5961,11142,,5804,15956,903,0,39766,6120,11626,,6661,15312,1408,0,41127
2010,Afghanistan,Kabul : Wolaswalei - District,2,2,,0,5,0,0,9,0,0,,1,19,0,0,20
2010,Afghanistan,Kabul : Wilayat - Province,4916,16427,,10980,31930,1742,0,65995,5137,17358,,12144,30075,2735,0,67449
2010,Afghanistan,Jawzjan : Wilayat - Province,1284,3068,,1915,6526,489,0,13282,1281,3171,,2007,6506,745,0,13710
2010,Afghanistan,Hirat : Wilayat - Province,5609,7639,,4991,14388,753,0,33380,5897,7947,,5338,14909,1329,0,35420
2010,Afghanistan,Hilmand : Wilayat - Province,7092,10097,,6219,16927,888,0,41223,7364,10548,,6824,15853,1558,0,42147
