driver,team,points
Valtteri Bottas,Williams,85
Jenson Button,McLaren,21
Felipe Nasr,Sauber,2
Daniil Kvyat,Toro Rosso,25
Lewis Hamilton,Mercedes,380
Sebastian Vettel,Ferrari,212
Sergio Prez,Force India,101
Carlos Sainz,Toro Rosso,46
Jolyon Palmer,Renault,1
Pascal Wehrlein,Manor Marussia,1
Felipe Massa,Williams,53
Daniel Ricciardo,Red Bull,256
Romain Grosjean,Haas F1 Team,29
Nico Rosberg,Mercedes,385
Kimi Rikknen,Ferrari,186
Stoffel Vandoorne,McLaren,1
Fernando Alonso,McLaren,54
Nico Hlkenberg,Force India,72
Max Verstappen,Red Bull,204
Kevin Magnussen,Renault,7
