Species	Distribution	BodyMass
Lagomorpha	3.24	1750
Lagomorpha	3.25	1775
Lagomorpha	3.35	2225
Lagomorpha	3.44	2750
Lagomorpha	3.24	1750
Lagomorpha	3.33	2150
Lagomorpha	3.4	2500
Lagomorpha	3.35	2230
Lagomorpha	3.37	2335
Lagomorpha	3.35	2250
Dasyuromorphia	1.65	44.5
Dasyuromorphia	1.65	45
Dasyuromorphia	1.88	76.5
Dasyuromorphia	1.87	74
Dasyuromorphia	1.73	53.5
Dasyuromorphia	1.44	27.5
Dasyuromorphia	1.72	53
Dasyuromorphia	2.02	103.8
Dasyuromorphia	2	100
Dasyuromorphia	1.46	28.8
Dasyuromorphia	3.04	1100
Dasyuromorphia	2.72	525
Dasyuromorphia	3.74	5500
Dasyuromorphia	3.04	1090
Dasyuromorphia	0.93	8.5
Dasyuromorphia	0.76	5.7
Dasyuromorphia	0.85	7
Dasyuromorphia	1.84	68.8
Dasyuromorphia	1.44	27.5
Dasyuromorphia	1.71	51.5
Dasyuromorphia	2.29	193.5
Dasyuromorphia	0.96	9.2
Dasyuromorphia	0.63	4.3
Dasyuromorphia	1.04	11
Dasyuromorphia	0.78	6.1
Dasyuromorphia	1.51	32.5
Dasyuromorphia	1.3	20
Dasyuromorphia	1.6	40
Dasyuromorphia	4.08	12000
Dasyuromorphia	4	10000
Dasyuromorphia	1.35	22.5
Dasyuromorphia	1.2	16
Dasyuromorphia	1.4	25
Dasyuromorphia	1.18	15
Dasyuromorphia	1.13	13.6
Dasyuromorphia	1.74	55
Dasyuromorphia	1.29	19.5
Dasyuromorphia	1.4	25
Dasyuromorphia	1.24	17.5
Dasyuromorphia	1.18	15
Dasyuromorphia	1.4	25
Dasyuromorphia	1.41	26
Dasyuromorphia	1.26	18
Dasyuromorphia	1.3	20
Dasyuromorphia	1.23	17
Dasyuromorphia	1.04	11
Dasyuromorphia	1.53	33.5
Dasyuromorphia	1.55	35.3
Dasyuromorphia	1	10.1
Dasyuromorphia	2.67	471.5
Dasyuromorphia	4.15	14000
Dasyuromorphia	4.48	30000
Lagomorpha	3.6	4000
Lagomorpha	3.2	1580
Lagomorpha	3.4	2497
Lagomorpha	3.57	3740
Lagomorpha	3.48	3048
Lagomorpha	3.32	2100
Lagomorpha	3.65	4500
Lagomorpha	3.2	1589
Lagomorpha	3.24	1750
Lagomorpha	2.4	250
Lagomorpha	2.41	260
Lagomorpha	2.41	260
Lagomorpha	2.18	150
Lagomorpha	2.15	142.5
Dasyuromorphia	1.68	47.8
Dasyuromorphia	1.68	48.4
Dasyuromorphia	2.8	637
Dasyuromorphia	2.64	434
Dasyuromorphia	2.64	434
Dasyuromorphia	1.64	43.8
Dasyuromorphia	2.3	200
Dasyuromorphia	2.3	200
Dasyuromorphia	2.3	200
Dasyuromorphia	2.33	212
Dasyuromorphia	2.14	138.5
Dasyuromorphia	1.17	14.9
Dasyuromorphia	1.2	16
Dasyuromorphia	1.55	35.3
Dasyuromorphia	4.48	30000
Lagomorpha	3.4	2497
Didelphimorphia	2.47	297
Didelphimorphia	2.98	946
Didelphimorphia	3.04	1091.2
Didelphimorphia	3.34	2195.5
Didelphimorphia	1.69	49.5
Didelphimorphia	1.78	60
Didelphimorphia	2.12	132.3
Didelphimorphia	2.88	750
Lagomorpha	3.3	2000
Lagomorpha	2.54	350
Lagomorpha	3.18	1500
Lagomorpha	2.62	421.3
Lagomorpha	3.57	3685
Lagomorpha	3.23	1710
Lagomorpha	3.64	4405
Lagomorpha	3.38	2422.5
Lagomorpha	3.4	2500
Lagomorpha	3.68	4806
Lagomorpha	3.19	1555
Lagomorpha	3.48	3000
Lagomorpha	2.68	476.7
Lagomorpha	3.33	2135.8
Lagomorpha	2.95	889.6
Lagomorpha	2.81	643.3
Lagomorpha	3.07	1172.8
Lagomorpha	2.88	755.1
Lagomorpha	3.18	1500
Lagomorpha	2.82	656.7
Lagomorpha	2.98	950
Lagomorpha	3.48	3000
Lagomorpha	3.48	3000
Lagomorpha	2.11	129
Lagomorpha	2.2	157.6
Didelphimorphia	2.47	297
Didelphimorphia	2.51	325
Didelphimorphia	2.36	229.3
Didelphimorphia	2.4	250
Didelphimorphia	2.98	946
Didelphimorphia	2.96	904
Didelphimorphia	3.04	1091.2
Didelphimorphia	3.07	1164
Didelphimorphia	2.06	114
Didelphimorphia	1.31	20.5
Didelphimorphia	1.34	22
Didelphimorphia	1.26	18
Didelphimorphia	0.88	7.6
Didelphimorphia	1.38	23.8
Didelphimorphia	1.49	31
Didelphimorphia	1.88	76
Didelphimorphia	2.73	537.3
Didelphimorphia	1.15	14
Didelphimorphia	1.69	49.5
Didelphimorphia	1.75	56.7
Didelphimorphia	1.68	47.4
Didelphimorphia	1.41	26
Didelphimorphia	1.8	63
Didelphimorphia	1.51	32.4
Didelphimorphia	1.66	46.2
Didelphimorphia	1.78	60
Didelphimorphia	1.79	62.3
Didelphimorphia	1.18	15
Didelphimorphia	1.41	25.5
Didelphimorphia	1.57	37.5
Didelphimorphia	1.49	30.7
Didelphimorphia	1.61	40.5
Didelphimorphia	1.47	29.2
Didelphimorphia	1.32	21
Didelphimorphia	2.57	375
Didelphimorphia	2.12	132.3
Didelphimorphia	1.95	90
Didelphimorphia	1.88	75.8
Didelphimorphia	2.07	118.6
Didelphimorphia	1.29	19.5
Didelphimorphia	1.84	69.6
Didelphimorphia	1.76	58
Didelphimorphia	1.6	40
Didelphimorphia	1.54	35
Didelphimorphia	1.85	71.4
Didelphimorphia	2.05	112
Didelphimorphia	1.05	11.3
Didelphimorphia	2.05	112
Didelphimorphia	1.66	45.5
Didelphimorphia	2.87	741
Didelphimorphia	1.68	48
Didelphimorphia	2.05	112
Didelphimorphia	1.74	55.3
Didelphimorphia	2.51	325
Didelphimorphia	2.62	421
Didelphimorphia	1.61	41
Didelphimorphia	1.46	28.9
Didelphimorphia	1.32	20.7
Didelphimorphia	1.17	14.9
Didelphimorphia	1.32	20.7
Lagomorpha	2.98	950
Lagomorpha	3.07	1172.8
