Zip Code,Month,Year,Power
90077,7,2005,1847
90094,7,2005,301
90210,7,2005,2108
90212,7,2005,597
90230,7,2005,341
90232,7,2005,252
90247,7,2005,354
90077,8,2005,1814
90094,8,2005,321
90210,8,2005,2080
90212,8,2005,619
90230,8,2005,361
90232,8,2005,280
90247,8,2005,365
90077,9,2005,1701
90094,9,2005,315
90210,9,2005,1973
90212,9,2005,582
90230,9,2005,349
90232,9,2005,275
90247,9,2005,349
90077,10,2005,1708
90094,10,2005,348
90210,10,2005,1914
90212,10,2005,583
90230,10,2005,359
90232,10,2005,252
90247,10,2005,353
90077,11,2005,1580
90094,11,2005,335
90210,11,2005,1754
90212,11,2005,583
90230,11,2005,349
90232,11,2005,244
90247,11,2005,359
90077,12,2005,1645
90094,12,2005,338
90210,12,2005,1854
90212,12,2005,641
90230,12,2005,407
90232,12,2005,276
90247,12,2005,401
90077,1,2006,1660
90094,1,2006,345
90210,1,2006,1897
90212,1,2006,646
90230,1,2006,407
90232,1,2006,278
90247,1,2006,399
90077,2,2006,1486
90094,2,2006,325
90210,2,2006,1694
90212,2,2006,579
90230,2,2006,367
90232,2,2006,249
90247,2,2006,351
90077,3,2006,1622
90094,3,2006,350
90210,3,2006,1849
90212,3,2006,629
90230,3,2006,405
90232,3,2006,276
90247,3,2006,381
90077,4,2006,1580
90094,4,2006,312
90210,4,2006,1792
90212,4,2006,587
90230,4,2006,340
90232,4,2006,259
90247,4,2006,347
90077,5,2006,1665
90094,5,2006,349
90210,5,2006,1893
90212,5,2006,626
90230,5,2006,352
90232,5,2006,268
90247,5,2006,364
90077,6,2006,1776
90094,6,2006,380
90210,6,2006,2165
90212,6,2006,633
90230,6,2006,384
90232,6,2006,300
90247,6,2006,368
90077,7,2006,2150
90094,7,2006,364
90210,7,2006,2481
90212,7,2006,534
90230,7,2006,392
90232,7,2006,311
90247,7,2006,382
90077,8,2006,2025
90094,8,2006,390
90210,8,2006,2292
90212,8,2006,546
90230,8,2006,359
90232,8,2006,298
90247,8,2006,385
90077,9,2006,1778
90094,9,2006,360
90210,9,2006,2086
90212,9,2006,526
90230,9,2006,347
90232,9,2006,287
90247,9,2006,363
90077,10,2006,1785
90094,10,2006,336
90210,10,2006,2023
90212,10,2006,508
90230,10,2006,355
90232,10,2006,272
90247,10,2006,356
90077,11,2006,1640
90094,11,2006,326
90210,11,2006,1856
90212,11,2006,472
90230,11,2006,346
90232,11,2006,258
90247,11,2006,369
90077,12,2006,1723
90094,12,2006,341
90210,12,2006,1938
90212,12,2006,539
90230,12,2006,433
90232,12,2006,312
90247,12,2006,432
90077,1,2007,1762
90094,1,2007,343
90210,1,2007,1953
90212,1,2007,555
90230,1,2007,431
90232,1,2007,319
90247,1,2007,421
90077,2,2007,1542
90094,2,2007,308
90210,2,2007,1715
90212,2,2007,460
90230,2,2007,348
90232,2,2007,246
90247,2,2007,349
90077,3,2007,1608
90094,3,2007,349
90210,3,2007,1837
90212,3,2007,489
90230,3,2007,383
90232,3,2007,269
90247,3,2007,375
90077,4,2007,1547
90094,4,2007,328
90210,4,2007,1784
90212,4,2007,468
90230,4,2007,341
90232,4,2007,263
90247,4,2007,337
90077,5,2007,1592
90094,5,2007,359
90210,5,2007,1852
90212,5,2007,477
90230,5,2007,353
90232,5,2007,270
90247,5,2007,356
90077,6,2007,1666
90094,6,2007,363
90210,6,2007,1971
90212,6,2007,484
90230,6,2007,355
90232,6,2007,267
90247,6,2007,359
90077,7,2007,1968
90094,7,2007,321
90210,7,2007,2199
90212,7,2007,565
90230,7,2007,367
90232,7,2007,275
90247,7,2007,377
90077,8,2007,1948
90094,8,2007,372
90210,8,2007,2240
90212,8,2007,584
90230,8,2007,372
90232,8,2007,299
90247,8,2007,403
90077,9,2007,1859
90094,9,2007,341
90210,9,2007,2160
90212,9,2007,579
90230,9,2007,360
90232,9,2007,289
90247,9,2007,374
90077,10,2007,1862
90094,10,2007,320
90210,10,2007,2078
90212,10,2007,625
90230,10,2007,366
90232,10,2007,259
90247,10,2007,357
90077,11,2007,1728
90094,11,2007,324
90210,11,2007,1926
90212,11,2007,590
90230,11,2007,357
90232,11,2007,249
90247,11,2007,367
90077,12,2007,1789
90094,12,2007,361
90210,12,2007,2039
90212,12,2007,700
90230,12,2007,447
90232,12,2007,319
90247,12,2007,424
90077,1,2008,1775
90094,1,2008,364
90210,1,2008,2066
90212,1,2008,728
90230,1,2008,445
90232,1,2008,327
90247,1,2008,418
90077,2,2008,1623
90094,2,2008,358
90210,2,2008,1857
90212,2,2008,605
90230,2,2008,371
90232,2,2008,281
90247,2,2008,373
90077,3,2008,1642
90094,3,2008,376
90210,3,2008,1904
90212,3,2008,617
